model,retriever,category,faithfulness,answer_relevancy,contextual_precision,contextual_recall,refusal_accuracy,hallucination_rate
llama,bge,answerable_overall,1.0,1.0,0.9444444444444444,0.8333333333333334,,
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
qwen,bge,answerable_overall,1.0,0.9561403508771931,0.9473684210526315,0.8421052631578947,,
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
qwen,bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
gpt41_mini,bge,answerable_overall,0.9333333333333333,0.7526315789473684,0.9473684210526315,0.8421052631578947,,
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gpt41_mini,bge,unanswerable_overall,1.0,0.75,,,1.0,0.0
gemini_flash,bge,answerable_overall,0.9777777777777777,0.8162280701754386,0.9473684210526315,0.8421052631578947,,
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
claude_haiku,bge,answerable_overall,0.8977777777777777,0.7716791979949874,0.9473684210526315,0.8421052631578947,,
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
claude_haiku,bge,unanswerable_overall,1.0,0.4895833333333333,,,1.0,0.0
