model,retriever,category,faithfulness,answer_relevancy,contextual_precision,contextual_recall,refusal_accuracy,hallucination_rate
llama,drive_bge,answerable_overall,0.8300000000000001,0.9433333333333334,1.0,1.0,,
llama,drive_bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
llama,drive_bge,procurement,0.7999999999999999,0.9055555555555556,1.0,1.0,,
llama,drive_bge,publication,1.0,1.0,1.0,1.0,,
llama,drive_bge,promotion,0.5,1.0,1.0,1.0,,
llama,drive_bge,event,1.0,1.0,1.0,1.0,,
llama,drive_bge,conference,1.0,1.0,1.0,1.0,,
llama,drive_bge,training,1.0,1.0,1.0,1.0,,
llama,drive_bge,web_services,1.0,1.0,1.0,1.0,,
llama,drive_bge,unanswerable,1.0,1.0,,,1.0,0.0
qwen,drive_bge,answerable_overall,0.925,0.8333333333333334,1.0,1.0,,
qwen,drive_bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
qwen,drive_bge,procurement,0.9583333333333334,0.875,1.0,1.0,,
qwen,drive_bge,publication,0.0,1.0,1.0,1.0,,
qwen,drive_bge,promotion,1.0,0.5833333333333333,1.0,1.0,,
qwen,drive_bge,event,1.0,1.0,1.0,1.0,,
qwen,drive_bge,conference,1.0,1.0,1.0,1.0,,
qwen,drive_bge,training,1.0,0.0,1.0,1.0,,
qwen,drive_bge,web_services,1.0,1.0,1.0,1.0,,
qwen,drive_bge,unanswerable,1.0,1.0,,,1.0,0.0
gpt41_mini,drive_bge,answerable_overall,0.975,0.6741666666666666,1.0,1.0,,
gpt41_mini,drive_bge,unanswerable_overall,1.0,0.875,,,1.0,0.0
gpt41_mini,drive_bge,procurement,1.0,0.6805555555555555,1.0,1.0,,
gpt41_mini,drive_bge,publication,1.0,0.75,1.0,1.0,,
gpt41_mini,drive_bge,promotion,1.0,0.75,1.0,1.0,,
gpt41_mini,drive_bge,event,1.0,0.5333333333333333,1.0,1.0,,
gpt41_mini,drive_bge,conference,1.0,1.0,1.0,1.0,,
gpt41_mini,drive_bge,training,1.0,0.5,1.0,1.0,,
gpt41_mini,drive_bge,web_services,0.5,0.5,1.0,1.0,,
gpt41_mini,drive_bge,unanswerable,1.0,0.875,,,1.0,0.0
gemini_flash,drive_bge,answerable_overall,0.9,0.9298245614035089,1.0,1.0,,
gemini_flash,drive_bge,unanswerable_overall,1.0,1.0,,,1.0,0.0
gemini_flash,drive_bge,procurement,0.8333333333333334,0.8787878787878788,1.0,1.0,,
gemini_flash,drive_bge,publication,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,promotion,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,event,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,conference,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,training,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,web_services,1.0,1.0,1.0,1.0,,
gemini_flash,drive_bge,unanswerable,1.0,1.0,,,1.0,0.0
claude_haiku,drive_bge,answerable_overall,0.975,0.7991666666666666,1.0,1.0,,
claude_haiku,drive_bge,unanswerable_overall,1.0,0.7166666666666667,,,1.0,0.0
claude_haiku,drive_bge,procurement,0.9583333333333334,0.7930555555555556,1.0,1.0,,
claude_haiku,drive_bge,publication,1.0,0.8,1.0,1.0,,
claude_haiku,drive_bge,promotion,1.0,0.6666666666666666,1.0,1.0,,
claude_haiku,drive_bge,event,1.0,0.8333333333333333,1.0,1.0,,
claude_haiku,drive_bge,conference,1.0,0.6666666666666666,1.0,1.0,,
claude_haiku,drive_bge,training,1.0,1.0,1.0,1.0,,
claude_haiku,drive_bge,web_services,1.0,1.0,1.0,1.0,,
claude_haiku,drive_bge,unanswerable,1.0,0.7166666666666667,,,1.0,0.0
