model,retriever,category,faithfulness,answer_relevancy,contextual_precision,contextual_recall,refusal_accuracy,hallucination_rate
llama,drive_ensemble,answerable_overall,0.7435897435897435,0.9561403508771928,0.9,0.9473684210526315,,
qwen,drive_ensemble,answerable_overall,0.9285714285714286,0.9385964912280701,0.9473684210526315,0.8947368421052632,,
gpt41_mini,drive_ensemble,answerable_overall,0.8974358974358976,0.7859649122807016,0.9473684210526315,0.9473684210526315,,
gemini_flash,drive_ensemble,answerable_overall,1.0,0.9605263157894737,0.9473684210526315,0.9473684210526315,,
claude_haiku,drive_ensemble,answerable_overall,0.9593750000000001,0.8358395989974937,0.9473684210526315,0.9473684210526315,,
claude_haiku,drive_ensemble,unanswerable_overall,1.0,0.7083333333333333,,,1.0,0.0
claude_haiku,drive_ensemble,procurement,0.9099999999999999,0.6761904761904762,1.0,1.0,,
claude_haiku,drive_ensemble,travel,1.0,1.0,0.6666666666666666,0.6666666666666666,,
claude_haiku,drive_ensemble,contract_modification,1.0,1.0,1.0,1.0,,
claude_haiku,drive_ensemble,scholarship,1.0,0.5,1.0,1.0,,
claude_haiku,drive_ensemble,contract,1.0,0.6,1.0,1.0,,
claude_haiku,drive_ensemble,recruitment,0.9,0.9,1.0,1.0,,
claude_haiku,drive_ensemble,research_ethics,1.0,1.0,1.0,1.0,,
claude_haiku,drive_ensemble,leave,1.0,0.6333333333333333,,,1.0,0.0
claude_haiku,drive_ensemble,employment,1.0,0.8333333333333334,,,1.0,0.0
