model,retriever,category,faithfulness,answer_relevancy,contextual_precision,contextual_recall,refusal_accuracy,hallucination_rate
llama,drive_bge,answerable_overall,1.0,1.0,0.8947368421052632,0.8421052631578947,,
qwen,drive_bge,answerable_overall,0.875,0.9298245614035089,0.8947368421052632,0.8421052631578947,,
gpt41_mini,drive_bge,answerable_overall,0.8541666666666666,0.8333333333333333,0.8947368421052632,0.8421052631578947,,
gemini_flash,drive_bge,answerable_overall,0.875,0.969298245614035,0.8947368421052632,0.8421052631578947,,
claude_haiku,drive_bge,answerable_overall,0.8377777777777776,0.7982456140350876,0.8947368421052632,0.8421052631578947,,
claude_haiku,drive_bge,unanswerable_overall,0.9166666666666666,0.425,,,1.0,0.0
claude_haiku,drive_bge,procurement,0.76,0.7533333333333333,1.0,1.0,,
claude_haiku,drive_bge,travel,0.7000000000000001,1.0,0.3333333333333333,0.6666666666666666,,
claude_haiku,drive_bge,contract_modification,1.0,1.0,1.0,1.0,,
claude_haiku,drive_bge,scholarship,1.0,0.5,1.0,1.0,,
claude_haiku,drive_bge,contract,1.0,0.45,1.0,1.0,,
claude_haiku,drive_bge,recruitment,0.8333333333333333,0.5,1.0,0.0,,
claude_haiku,drive_bge,research_ethics,1.0,1.0,1.0,1.0,,
claude_haiku,drive_bge,leave,0.8833333333333332,0.6,,,1.0,0.0
claude_haiku,drive_bge,employment,1.0,0.13333333333333333,,,1.0,0.0
